# Specimens Seed Data
# Maps to: Specimen (4.5) entity
# MaterialType: Rock=0, Mineral=1, Glass=2, Fossil=3, Other=4 (seeder maps strings)
# TumblingDifficulty: Easy=0, Medium=1, Hard=2 (seeder maps: Intermediate->1, Advanced->2, Expert->2)
# IsActive defaults to true (omitted from CSV)
#
"Commontumbling difficulty. "MaterialType","MohsHardnessMin","MohsHardnessMax","TumblingDifficulty","RecommendedGritSequence","SpecialConsiderations","Notes"
"Agate","Agate","Quartz","Agate","Agate Stone","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Durable; excellent for tumbling"
"Agate (Banded)","Agate","Quartz","Banded","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Durable; excellent for tumbling"
"Agate (Blue Lace)","Silicate","Quartz","Banded Chalcedony","","SiO2","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","","Becoming rare/expensive; save for vibratory tumblers or special projects."
"Agate (Botswana Lace)","Agate","Quartz","Botswana Lace","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Lacy variety of Botswana-type agate"
"Agate (Botswana)","Silicate","Quartz","Botswana","Sunset Stone","SiO2 (Silicon Dioxide)","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","Requires extra time in coarse stage due to hardness.","Known for tight fortification bands and pink/grey hues. Very hard; slow shaping but excellent finish."
"Agate (Brazilian Banded)","Agate","Quartz","Brazilian Banded","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Banded Brazilian stock; behaves like other agates"
"Agate (Brazilian Moss)","Agate","Quartz","Brazilian Moss","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Durable with mossy inclusions; behaves like other moss agates"
"Agate (Brazilian)","Agate","Quartz","Brazilian","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Common commercial agate; durable and consistent"
"Agate (Condor)","Agate","Quartz","Condor","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Durable; bright colors and patterns hold up in tumbling"
"Agate (Coyamito)","Agate","Quartz","Coyamito","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Very hard and finely banded; behaves like premium agate"
"Agate (Crazy Lace)","Silicate","Quartz","Mexican Crazy Lace","Laughter Stone; Mexican Lace","SiO2","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","Check for pits/vugs; clean thoroughly between stages. Pitted surface requires grinding; takes high polish.","Intricate lacy patterns; often requires thorough cleaning."
"Agate (Dendritic)","Agate","Quartz","Dendritic","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","fern-like dendrites remain sharp under polish","Durable;"
"Agate (Dinosaur Bone)","Fossil","Quartz","Dinosaur Bone Agate","Dino Bone / Agatized Dinosaur Bone","Silicified Bone (Chalcedony)","Rock","6.5","7.0","Hard","60/90 -> 120/220 -> 500 -> Polish","","Behaves like jasper/agate; heavily patterned"
"Agate (Ellensburg Blue)","Agate","Quartz","Ellensburg Blue","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","off-grade fragments can be tumbled","Usually cabbed;"
"Agate (Ellensburg)","Agate","Quartz","Ellensburg","Ellensburg Blue","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","usually used for cabs but chips may be tumbled","Premium material;"
"Agate (Fairburn)","Agate","Quartz","Fairburn","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","small chips and fragments tumble well","Very collectible;"
"Agate (Fire)","Silicate","Quartz","Botryoidal Agate","","SiO2 + Limonite","Mineral","6.5","7","Expert","Hand Polish Preferred","","Tumbling usually removes the iridescent layers. Better for Dremel carving than tumbling. Botryoidal layers are thin; tumbling ruins the ""fire""."
"Agate (Fortification)","Agate","Quartz","Fortification","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Durable; excellent for tumbling"
"Agate (Fossil Coral)","Fossil","Quartz","Fossil Coral Agate","Fossil Coral / Agatized Coral","Silicified Coral","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Agate-grade fossil coral; very tough"
"Agate (Fossil Hash)","Fossil","Quartz","Fossil Hash Agate","Fossil Hash Stone / Fossil Mix Agate","Silicified Mixed Fossil Debris in Chalcedony","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Hard fossil mix; very durable"
"Agate (Gastropod Fossil)","Fossil","Quartz","Gastropod Fossil Agate","Fossil Snail Agate / Snail Agate","Silicified Gastropod Fossil in Chalcedony","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","Spiral fossil outlines appear as patterns under polish",""
"Agate (General)","Silicate","Quartz","Banded Agate","Earth Rainbow","SiO2","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","takes a high polish;","None; ideal for beginners. Agates are the gold standard for tumbling due to hardness and pattern. Durable; very forgiving."
"Agate (Indian Tree)","Agate","Quartz","Indian Tree","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","takes a glossy polish","White chalcedony with green dendrites;"
"Agate (Laguna)","Agate","Quartz","Laguna","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","takes an exceptional polish","Very fine-banded and dense;"
"Agate (Lake Superior)","Agate","Quartz","Lake Superior","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","naturally rounded beach stones tumble well","Durable;"
"Agate (Mexican)","Agate","Quartz","Mexican","Mexican Lace Agate, Happy Lace, The Laughter Stone","Silicon dioxide (SiO₂)","Mineral/Gemstone","6.5","7","Relatively easy but care needed with fire agate","Follow standard agate/quartz sequence: 60/90, 120/220, 400, 1000 (or polish)","Avoid harsh chemicals; fire agate may require specialized cutting to preserve iridescence","Mexican agate is found exclusively in Mexico (predominantly Chihuahua), with many specific varieties named after their mine location"
"Agate (Montana)","Agate","Quartz","Montana","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Hard river-worn pieces; ideal for tumbling"
"Agate (Moss)","Silicate","Quartz","Moss Agate","Mocha Stone","SiO2","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","inclusions may vary in hardness slightly.","None. Contains green mineral inclusions resembling moss. Durable;"
"Agate (Plume)","Agate","Quartz","Plume","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Durable; excellent for tumbling"
"Agate (Red Lighting)","Agate)","Quartz","Mexican Red Plume Agate","Old stock Mexican material","Silicon dioxide (SiO₂)","Mineral/Gemstone","6.5","7","Relatively easy","Follow standard agate/quartz sequence: 60/90, 120/220, 400, 1000 (or polish)","This material is old stock and becoming rare; avoid harsh chemicals","This Mexican material is predominantly red with swirls of green, gray, and white, sometimes containing patches of blue agate."
"Agate (Tree)","Agate","Quartz","Tree","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Durable; excellent for tumbling"
"Agate (Turritella Fossil)","Fossil","Quartz","Turritella Fossil Agate","Turritella Agate / Fossil Snail Agate","Silicified Gastropod Fossil in Chalcedony","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Chalcedony matrix with snail shell fossils; very durable"
"Agate (Turritella)","Sedimentary/Silicate","Quartz","Fossiliferous","Snail Stone","SiO2 (replaced limestone)","Fossil","6.5","7","Intermediate","60/90 -> 120/220 -> 500 -> Polish","Avoid aggressive coarse grind if fossils are delicate.","Actually contains Elimia tenera snails; not Turritella. Can undercut where fossils meet matrix."
"Agate (Uruguay)","Agate","Quartz","Uruguay","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Dense and colorful; often pre-banded nodules"
"Alabaster","Gypsum","","Satin Spar","Desert Rose (part of)","CaSO4·2H2O","Mineral","2","2.5","Expert","Dry Tumble","Must be tumbled *dry* in sawdust/corn cob media. too soft for standard wet tumbling. Extremely soft; dusts and wears away instantly.","Avoid water. Used for carving;"
"Aluminum Oxide Polish","Man-Made","","Aluminum Oxide Polish","Alumina Polish / Aluminum Oxide","Aluminum Oxide","Abrasive","9.0","9.0","Very Hard","Polish","Excellent general-purpose polish for quartz-family stones  Used as polishing agent in final stage",""
"Amazonite","Feldspar","Feldspar","Microcline","Amazon Stone","KAlSi3O8","Mineral","6","6.5","Intermediate","120/220 -> 500 -> Polish","Use ceramic media for cushioning;","avoid heat. Beautiful blue-green; finish often satin rather than glass-like. Cleaves easily; prone to flashing/cracking."
"Amber","Organic","","Fossilized Resin","","Polymerized Resin","Fossil","2","2.5","Expert","Dry Tumble (Corncob/Walnut)","Do not use water/grit; Use polishing compounds. Extremely soft;","friction melts it. Technically a fossilized tree resin; floats in saltwater. melts with heat."
"Amethyst","Quartz","Quartz","Purple Quartz","Bishop's Stone","SiO2","Mineral","7","7","Easy","60/90 -> 120/220 -> 500 -> Polish","Check for internal fractures before tumbling. Chevron Amethyst patterns polish beautifully. brittle if heavily included.","Durable;"
"Amethyst (Brandberg)","Quartz","Quartz","Brandberg Amethyst","Brandberg Quartz","Quartz","Rock","7.0","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","typically faceted but small chips may be tumbled","High-end locality quartz;"
"Amethyst (Chevron)","Quartz","Quartz","Chevron Amethyst","Banded Amethyst / Cape Amethyst","Quartz","Rock","7.0","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Violet and white banded quartz; behaves like other crystalline quartz"
"Amethyst (Smoky)","Quartz","Quartz","Smoky Amethyst","","Quartz","Rock","7.0","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Amethyst with smoky zoning; treated as any other quartz in tumbling"
"Ametrine","Quartz","Quartz","Ametrine","","Quartz","Rock","7.0","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","Off-grade and chipped pieces may be tumbled  Amethyst-citrine bicolor;","premium material usually faceted"
"Angelite","Sulfate","","Anhydrite","Angel Stone","CaSO4","Mineral","3.5","3.5","Advanced","Dry Tumble or Quick Wet","soft satin finish.","Do not leave in water overnight; moisture sensitive. Pale blue; Absorbs water; turns into Gypsum if soaked too long."
"Apatite","Phosphate","","Blue Apatite","","Ca5(PO4)3(F;Cl;OH)","Mineral","5","5","Advanced","500 -> Polish","Heavy cushioning; check daily. Very soft; wears away rapidly.","Rich blue color but very difficult to get a mirror shine."
"Apatite (Green)","Phosphate","","Green Apatite","Asparagus Stone","Ca5(PO4)3(F;Cl;OH)","Mineral","5","5","Advanced","500 -> Polish","Heavy cushioning. Often fractures internally. Very brittle;","distinct from Blue Apatite."
"Aquamarine","Beryl","Beryl","Aquamarine","","Beryl Group","Rock","7.5","8.0","Hard","80/120 -> 220 -> 500 -> Polish","Brittle in places; edges can chip if not cushioned",""
"Aquamarine (Low Grade)","Beryl","Beryl","Blue Beryl","","Be3Al2(SiO3)6","Mineral","7.5","8","Intermediate","60/90 -> 120/220 -> 500 -> Polish","Retains hexagonal shape unless tumbled long. takes a long time to smooth.","Opaque/cracked material is affordable for tumbling. Hard;"
"Aquaprase","Quartz","Quartz","Aquaprase","Aquaprase Chalcedony","Chalcedony","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Blue-green chalcedony; behaves like other agate/chalcedony"
"Aragonite","Carbonate","","Aragonite","Sputnik Aragonite","Calcium Carbonate","Rock","3.5","4.0","Fragile","220 -> 500 -> Polish","soft","Red-brown clusters;"
"Atlantisite","Metamorphic","","Atlantisite","","Stichtite in Serpentine","Rock","3.0","4.0","Fragile","220 -> 500 -> Polish","Treat as soft stone; short, gentle cycles only  Soft serpentine host; wears rapidly",""
"Auralite 23","Quartz","Quartz","Auralite 23","","Chevron Amethyst with Inclusions","Rock","7.0","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Complex quartz; behaves like amethyst"
"Australian Chrysoprase","Quartz","Quartz","Australian Chrysoprase","Australian Chrysoprase Chalcedony","Chalcedony (Nickel-Bearing)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Behaves like other chrysoprase; highly desirable lapidary material"
"Aventurine","Quartz","Quartz","Green Aventurine","Indian Jade","SiO2 w/ Fuchsite","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","mica inclusions can undercut.","None. The sparkles are caused by platy mineral inclusions (aventurescence). Good durability;"
"Aventurine (Green)","Quartz","Quartz","Indian Jade","Green Aventurine Jade","Green Aventurine Quartz","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","durable and forgiving in tumbler","Green aventurine;"
"Azurite","Azurite","Azurite","Azurite","Azurite Stone","Copper Carbonate Hydroxide","Rock","3.5","4.0","Fragile","220 -> 500 -> Polish","Use very gentle, small loads with ample cushioning; do not mix with hard stones  Soft and brittle;","edges and high points chip readily"
"Azurite (in Matrix)","Carbonate","","Azurite Granite","K2 Stone (specific type)","Cu3(CO3)2(OH)2 + Granite","Rock","3.5","7","Advanced","120/220 -> 500 -> Polish","Blue dots will undercut (sink in). 5) wear faster than Granite (7).","K2 Stone is the most famous variety (Azurite in Granite). Blue spots (3."
"Azurite-Malachite","Mixed Copper Minerals","","Azurite-Malachite","Azurite Malachite","Copper Carbonate Mix","Rock","3.5","4.0","Fragile","220 -> 500 -> Polish","heavy cushioning media strongly advised  Mixed azurite and malachite; very soft overall","Short runs only;"
